MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
8.3014,21.0,6.238137,0.97188,2401.0,2.109842,37.86,-122.22,3.585
2.125,50.0,4.242424,1.07197,697.0,2.640152,37.85,-122.26,1.4
1.9274,49.0,5.068783,1.18254,863.0,2.283069,37.84,-122.28,1.223
3.48,52.0,4.757282,1.067961,689.0,2.229773,37.83,-122.26,1.914
1.2171,52.0,4.5625,1.121711,1074.0,3.532895,37.82,-122.28,0.803
6.1183,49.0,5.869565,1.26087,86.0,3.73913,37.82,-122.29,0.75
0.9241,17.0,2.817768,1.052392,762.0,1.735763,37.81,-122.28,1.775
2.4464,36.0,5.724951,1.104126,1236.0,2.428291,37.81,-122.28,1.021
2.4083,52.0,6.721739,1.243478,377.0,3.278261,37.81,-122.28,0.982
1.2434,52.0,2.929412,0.917647,396.0,4.658824,37.8,-122.27,5.00001
3.0233,26.0,3.253081,0.982744,1749.0,1.437141,37.82,-122.25,2.55
3.1484,52.0,4.578035,1.077071,939.0,1.809249,37.83,-122.25,2.241
3.4722,35.0,3.822275,1.014218,675.0,1.599526,37.83,-122.25,2.431
2.4234,28.0,3.02348,1.053582,2558.0,1.540036,37.83,-122.25,2.185
3.0897,52.0,4.040501,1.065574,1786.0,1.722276,37.83,-122.25,2.341
5.8596,50.0,6.742627,1.069705,970.0,2.600536,37.84,-122.23,3.276
6.7851,45.0,6.957746,1.023474,1067.0,2.504695,37.81,-122.2,3.235
4.072,52.0,5.952941,0.997059,756.0,2.223529,37.81,-122.22,2.701
5.3509,52.0,5.650672,1.028791,1034.0,1.984645,37.81,-122.22,3.021
8.8793,52.0,8.972868,1.131783,861.0,3.337209,37.81,-122.23,4.103
2.1944,52.0,5.074286,0.96,360.0,2.057143,37.8,-122.24,2.115
3.0149,52.0,4.276639,1.045082,1197.0,2.452869,37.8,-122.25,2.184
3.225,46.0,4.32664,1.117805,1373.0,1.838019,37.81,-122.25,2.188
2.6292,47.0,3.693141,1.061372,1213.0,2.189531,37.8,-122.24,1.827
2.1638,39.0,3.77635,1.107969,1464.0,3.763496,37.79,-122.24,1.055
3.375,52.0,4.011905,1.071429,647.0,3.85119,37.79,-122.24,1.161
1.9338,43.0,3.242009,1.077626,1506.0,3.438356,37.78,-122.23,1.125
1.6009,44.0,3.115846,1.098535,2813.0,3.745672,37.78,-122.23,1.181
2.1494,37.0,4.479924,1.097514,1608.0,3.07457,37.79,-122.22,1.325
2.875,35.0,4.520725,1.059585,1143.0,2.96114,37.79,-122.21,1.438
4.9559,43.0,6.692308,1.096703,1115.0,2.450549,37.8,-122.2,2.73
5.1184,41.0,6.088235,1.041176,804.0,2.364706,37.8,-122.2,2.396
2.6667,49.0,4.2,0.928571,737.0,3.509524,37.79,-122.2,1.22
2.4167,45.0,4.462025,1.124473,1530.0,3.227848,37.79,-122.21,1.394
2.3309,46.0,3.485876,1.059322,1183.0,3.341808,37.77,-122.21,0.987
3.5398,52.0,5.437352,1.047281,1225.0,2.895981,37.78,-122.2,1.584
2.5401,50.0,4.939153,1.066138,1128.0,2.984127,37.78,-122.2,1.291
